Indicator,Year,WHO region,"Countries, territories and areas",Gender,Display Value,Numeric
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Netherlands (Kingdom of the),Male,17.4,17.40722
Healthy life expectancy (HALE) at birth (years),2019,Europe,Netherlands (Kingdom of the),Male,71.3,71.34785
Healthy life expectancy (HALE) at birth (years),2019,Europe,Netherlands (Kingdom of the),Female,71.5,71.5022
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Netherlands (Kingdom of the),Female,18.9,18.94227
Healthy life expectancy (HALE) at birth (years),2019,Europe,Netherlands (Kingdom of the),Both,71.4,71.43514
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Netherlands (Kingdom of the),Both,18.4,18.44313
Healthy life expectancy (HALE) at birth (years),2019,Europe,Norway,Male,71.0,71.04694
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Norway,Male,17.8,17.8303
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Norway,Female,19.1,19.0536
Healthy life expectancy (HALE) at birth (years),2000,Europe,Norway,Both,68.4,68.43369
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Norway,Both,18.5,18.45936
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Nepal,Male,55.8,55.80386
Healthy life expectancy (HALE) at age 60 (years),2019,South-East Asia,Nepal,Male,12.7,12.66071
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Nepal,Female,56.7,56.67344
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Nepal,Both,56.3,56.2529
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Nepal,Both,12.8,12.80343
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,New Zealand,Male,66.4,66.4027
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,New Zealand,Male,15.6,15.62121
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,New Zealand,Female,69.2,69.16238
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,New Zealand,Female,18.0,18.04068
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,New Zealand,Female,70.6,70.56623
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,New Zealand,Both,16.9,16.88269
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,New Zealand,Both,69.8,69.77947
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Oman,Male,11.2,11.1927
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Oman,Male,61.5,61.5396
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Oman,Female,62.7,62.65211
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Oman,Female,12.4,12.37037
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Oman,Both,62.0,62.03865
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Oman,Both,11.9,11.85732
Healthy life expectancy (HALE) at birth (years),2010,Eastern Mediterranean,Pakistan,Male,54.4,54.44709
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Pakistan,Male,11.9,11.85599
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Pakistan,Female,12.1,12.14321
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Pakistan,Female,55.8,55.79993
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Pakistan,Both,12.0,11.99026
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Pakistan,Both,55.8,55.78048
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Panama,Male,16.6,16.59114
Healthy life expectancy (HALE) at birth (years),2015,Americas,Panama,Male,67.0,67.0202
Healthy life expectancy (HALE) at birth (years),2015,Americas,Panama,Female,69.6,69.6066
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Panama,Female,18.9,18.88254
Healthy life expectancy (HALE) at birth (years),2015,Americas,Panama,Both,68.3,68.28441
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Panama,Both,18.0,18.00575
Healthy life expectancy (HALE) at birth (years),2015,Americas,Peru,Male,68.5,68.48217
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Peru,Male,18.0,17.99136
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Peru,Female,18.5,18.46177
Healthy life expectancy (HALE) at birth (years),2019,Americas,Peru,Female,69.8,69.78498
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Peru,Both,18.2,18.23588
Healthy life expectancy (HALE) at birth (years),2019,Americas,Peru,Both,69.5,69.49626
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Philippines,Male,12.1,12.1093
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Philippines,Male,60.1,60.14298
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Philippines,Male,12.1,12.11595
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Philippines,Female,63.9,63.9427
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Philippines,Female,14.6,14.62337
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Philippines,Both,62.0,61.99813
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Philippines,Both,13.4,13.41317
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Papua New Guinea,Male,11.7,11.72815
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Papua New Guinea,Female,56.5,56.47873
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Papua New Guinea,Female,12.8,12.82493
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Papua New Guinea,Both,55.3,55.27796
Healthy life expectancy (HALE) at age 60 (years),2019,Western Pacific,Papua New Guinea,Both,12.3,12.28116
Healthy life expectancy (HALE) at birth (years),2000,Europe,Poland,Male,61.9,61.90147
Healthy life expectancy (HALE) at birth (years),2000,Europe,Poland,Female,68.1,68.08603
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Poland,Female,16.3,16.33923
Healthy life expectancy (HALE) at birth (years),2000,Europe,Poland,Both,65.0,65.00275
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Poland,Both,14.7,14.68368
Healthy life expectancy (HALE) at birth (years),2000,South-East Asia,Democratic People's Republic of Korea,Male,56.0,55.98515
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Democratic People's Republic of Korea,Male,11.1,11.10626
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Democratic People's Republic of Korea,Female,13.0,12.99968
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Democratic People's Republic of Korea,Female,64.5,64.49322
Healthy life expectancy (HALE) at age 60 (years),2000,South-East Asia,Democratic People's Republic of Korea,Both,12.3,12.25619
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Democratic People's Republic of Korea,Both,63.0,62.98104
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Portugal,Male,14.9,14.93103
Healthy life expectancy (HALE) at birth (years),2010,Europe,Portugal,Male,67.8,67.8432
Healthy life expectancy (HALE) at birth (years),2010,Europe,Portugal,Female,70.8,70.76079
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Portugal,Female,18.8,18.79392
Healthy life expectancy (HALE) at birth (years),2010,Europe,Portugal,Both,69.3,69.33836
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Portugal,Both,17.6,17.64441
Healthy life expectancy (HALE) at birth (years),2010,Americas,Paraguay,Male,64.1,64.08212
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Paraguay,Male,15.6,15.58991
Healthy life expectancy (HALE) at birth (years),2015,Americas,Paraguay,Male,64.3,64.33997
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Paraguay,Female,17.3,17.25158
Healthy life expectancy (HALE) at birth (years),2015,Americas,Paraguay,Female,67.1,67.08397
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Paraguay,Both,16.4,16.41223
Healthy life expectancy (HALE) at birth (years),2015,Americas,Paraguay,Both,65.6,65.63456
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Qatar,Male,67.4,67.42958
Healthy life expectancy (HALE) at birth (years),2015,Americas,Guatemala,Female,63.4,63.37193
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Guatemala,Female,15.1,15.13672
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Guatemala,Both,14.6,14.61989
Healthy life expectancy (HALE) at birth (years),2019,Americas,Guatemala,Both,62.3,62.30202
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Guyana,Male,11.6,11.57316
Healthy life expectancy (HALE) at birth (years),2019,Americas,Guyana,Male,55.1,55.0512
Healthy life expectancy (HALE) at age 60 (years),2015,Americas,Guyana,Female,13.6,13.5766
Healthy life expectancy (HALE) at birth (years),2019,Americas,Guyana,Female,59.7,59.73927
Healthy life expectancy (HALE) at birth (years),2019,Americas,Guyana,Both,57.2,57.23597
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Guyana,Both,12.5,12.50978
Healthy life expectancy (HALE) at birth (years),2019,Americas,Honduras,Male,62.7,62.65538
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Honduras,Male,13.4,13.39549
Healthy life expectancy (HALE) at birth (years),2019,Americas,Honduras,Female,63.3,63.30145
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Honduras,Female,14.2,14.22719
Healthy life expectancy (HALE) at birth (years),2000,Americas,Honduras,Both,61.2,61.22247
Healthy life expectancy (HALE) at age 60 (years),2019,Americas,Honduras,Both,13.8,13.8306
Healthy life expectancy (HALE) at birth (years),2000,Europe,Croatia,Male,62.9,62.89141
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Croatia,Male,14.6,14.60876
Healthy life expectancy (HALE) at birth (years),2000,Europe,Croatia,Female,67.9,67.88595
Healthy life expectancy (HALE) at birth (years),2000,Europe,Croatia,Both,65.4,65.42682
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Croatia,Both,14.4,14.42671
Healthy life expectancy (HALE) at birth (years),2000,Americas,Haiti,Male,50.5,50.4763
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Haiti,Male,12.1,12.09939
Healthy life expectancy (HALE) at birth (years),2000,Americas,Haiti,Female,49.6,49.60227
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Haiti,Female,12.2,12.18987
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Haiti,Both,12.1,12.14885
Healthy life expectancy (HALE) at birth (years),2010,Americas,Haiti,Both,28.0,27.97894
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Hungary,Male,11.6,11.61489
Healthy life expectancy (HALE) at birth (years),2010,Europe,Hungary,Male,63.0,63.01783
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Hungary,Female,15.2,15.20037
Healthy life expectancy (HALE) at birth (years),2010,Europe,Hungary,Female,68.4,68.37724
Healthy life expectancy (HALE) at birth (years),2010,Europe,Hungary,Both,65.8,65.76557
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Hungary,Both,14.9,14.93098
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Indonesia,Male,60.4,60.42789
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Indonesia,Male,12.5,12.48312
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Indonesia,Female,62.0,62.0181
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Indonesia,Female,13.5,13.52819
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Indonesia,Both,13.0,13.02247
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,Indonesia,Both,62.3,62.3252
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,India,Male,12.1,12.12251
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,India,Male,59.1,59.11574
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,India,Female,13.0,13.02914
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,India,Female,59.2,59.16124
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,India,Female,13.3,13.31802
Healthy life expectancy (HALE) at birth (years),2015,South-East Asia,India,Both,59.1,59.14177
Healthy life expectancy (HALE) at age 60 (years),2015,South-East Asia,India,Both,13.1,13.06244
Healthy life expectancy (HALE) at birth (years),2015,Europe,Ireland,Male,70.2,70.15884
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Ireland,Male,17.5,17.53781
Healthy life expectancy (HALE) at birth (years),2015,Europe,Ireland,Female,71.2,71.16127
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Ireland,Female,19.0,18.96341
Healthy life expectancy (HALE) at birth (years),2019,Europe,Ireland,Female,71.4,71.43208
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Ireland,Both,18.3,18.26465
Healthy life expectancy (HALE) at birth (years),2019,Europe,Ireland,Both,71.1,71.07451
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Iran (Islamic Republic of),Male,15.3,15.33445
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Iran (Islamic Republic of),Male,66.0,65.96532
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Iran (Islamic Republic of),Female,66.5,66.52402
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Iran (Islamic Republic of),Female,15.8,15.8092
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Iran (Islamic Republic of),Both,66.3,66.25681
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Iran (Islamic Republic of),Both,15.7,15.72123
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Iraq,Male,61.6,61.6259
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Iraq,Male,13.3,13.31751
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Iraq,Female,15.0,15.00202
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Iraq,Both,59.5,59.52388
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Iraq,Both,14.2,14.1865
Healthy life expectancy (HALE) at birth (years),2000,Europe,Iceland,Male,69.3,69.2776
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Iceland,Male,18.6,18.62035
Healthy life expectancy (HALE) at birth (years),2000,Europe,Iceland,Female,70.3,70.33992
Healthy life expectancy (HALE) at birth (years),2000,Europe,Iceland,Both,69.8,69.82331
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Iceland,Both,17.4,17.41697
Healthy life expectancy (HALE) at birth (years),2000,Europe,Israel,Male,68.4,68.42462
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Israel,Male,16.4,16.35182
Healthy life expectancy (HALE) at birth (years),2000,Europe,Israel,Female,69.9,69.941
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Israel,Female,17.7,17.71288
Healthy life expectancy (HALE) at birth (years),2010,Europe,Israel,Female,71.8,71.83548
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Israel,Both,17.1,17.08817
Healthy life expectancy (HALE) at birth (years),2010,Europe,Israel,Both,71.4,71.41578
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Italy,Male,15.6,15.57554
Healthy life expectancy (HALE) at birth (years),2010,Europe,Italy,Male,70.0,69.97733
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Italy,Female,18.4,18.36706
Healthy life expectancy (HALE) at birth (years),2010,Europe,Italy,Female,72.2,72.18626
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Italy,Female,19.6,19.58237
Healthy life expectancy (HALE) at birth (years),2010,Europe,Italy,Both,71.1,71.14208
Healthy life expectancy (HALE) at age 60 (years),2010,Europe,Italy,Both,18.4,18.43608
Healthy life expectancy (HALE) at birth (years),2010,Americas,Jamaica,Male,65.3,65.272
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Jamaica,Male,15.3,15.32239
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Jamaica,Female,18.2,18.22146
Healthy life expectancy (HALE) at birth (years),2015,Americas,Jamaica,Female,67.4,67.42108
Healthy life expectancy (HALE) at age 60 (years),2010,Americas,Jamaica,Both,16.7,16.71141
Healthy life expectancy (HALE) at birth (years),2015,Americas,Jamaica,Both,66.6,66.5929
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Jordan,Male,15.7,15.69152
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Jordan,Male,68.0,68.04247
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Jordan,Female,67.2,67.16661
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Jordan,Female,16.1,16.13038
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Jordan,Both,67.6,67.59341
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Jordan,Both,16.2,16.18277
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Japan,Male,72.0,72.03889
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Japan,Male,18.4,18.38635
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Japan,Female,21.5,21.54365
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Japan,Female,75.5,75.48193
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Japan,Both,20.0,20.0391
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Japan,Both,74.1,74.09376
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Kazakhstan,Male,12.3,12.30432
Healthy life expectancy (HALE) at birth (years),2019,Europe,Kazakhstan,Male,62.4,62.37437
Healthy life expectancy (HALE) at birth (years),2019,Europe,Kazakhstan,Female,67.4,67.3923
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Kazakhstan,Female,16.2,16.15657
Healthy life expectancy (HALE) at birth (years),2019,Europe,Kazakhstan,Both,65.0,64.98934
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Kazakhstan,Both,14.8,14.79826
Healthy life expectancy (HALE) at birth (years),2019,Africa,Kenya,Male,56.4,56.41041
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Kenya,Male,11.9,11.94639
Healthy life expectancy (HALE) at birth (years),2000,Africa,Kenya,Female,47.2,47.24839
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Kenya,Female,14.0,14.02955
Healthy life expectancy (HALE) at birth (years),2000,Africa,Kenya,Both,46.9,46.93756
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Kenya,Both,13.1,13.05994
Healthy life expectancy (HALE) at birth (years),2000,Europe,Kyrgyzstan,Male,55.8,55.80447
Healthy life expectancy (HALE) at birth (years),2000,Europe,Kyrgyzstan,Female,61.7,61.68103
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Kyrgyzstan,Female,14.1,14.14281
Healthy life expectancy (HALE) at birth (years),2000,Europe,Kyrgyzstan,Both,58.7,58.65565
Healthy life expectancy (HALE) at age 60 (years),2000,Europe,Kyrgyzstan,Both,13.1,13.06115
Healthy life expectancy (HALE) at birth (years),2000,Western Pacific,Cambodia,Male,49.8,49.81401
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Cambodia,Male,10.9,10.90412
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Cambodia,Female,12.5,12.52057
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Cambodia,Female,60.7,60.66625
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Cambodia,Both,11.8,11.75523
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Cambodia,Both,59.0,59.00763
Healthy life expectancy (HALE) at age 60 (years),2000,Western Pacific,Kiribati,Male,8.7,8.67535
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Kiribati,Male,49.3,49.3456
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Kiribati,Female,53.8,53.81197
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Kiribati,Female,10.7,10.68748
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Kiribati,Both,51.5,51.53046
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Kiribati,Both,10.0,10.00727
Healthy life expectancy (HALE) at birth (years),2010,Western Pacific,Republic of Korea,Male,68.7,68.69696
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Republic of Korea,Male,16.4,16.42243
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Republic of Korea,Female,19.7,19.69624
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Republic of Korea,Female,73.7,73.73033
Healthy life expectancy (HALE) at age 60 (years),2010,Western Pacific,Republic of Korea,Both,18.2,18.22314
Healthy life expectancy (HALE) at birth (years),2015,Western Pacific,Republic of Korea,Both,72.0,72.03045
Healthy life expectancy (HALE) at age 60 (years),2010,Eastern Mediterranean,Kuwait,Male,17.0,17.00879
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Kuwait,Male,69.7,69.73739
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Kuwait,Male,17.4,17.37104
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Kuwait,Female,71.0,71.04259
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Kuwait,Female,18.9,18.90624
Healthy life expectancy (HALE) at birth (years),2015,Eastern Mediterranean,Kuwait,Both,70.2,70.23316
Healthy life expectancy (HALE) at age 60 (years),2015,Eastern Mediterranean,Kuwait,Both,18.0,17.96358
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Lao People's Democratic Republic,Male,12.4,12.41757
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Lao People's Democratic Republic,Male,59.2,59.19942
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Lao People's Democratic Republic,Female,13.9,13.94215
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Lao People's Democratic Republic,Female,61.9,61.88719
Healthy life expectancy (HALE) at age 60 (years),2015,Western Pacific,Lao People's Democratic Republic,Both,13.2,13.21179
Healthy life expectancy (HALE) at birth (years),2019,Western Pacific,Lao People's Democratic Republic,Both,60.5,60.51048
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Lebanon,Male,65.1,65.06089
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Lebanon,Male,13.9,13.94966
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Lebanon,Female,67.0,67.0451
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Lebanon,Female,16.2,16.17533
Healthy life expectancy (HALE) at birth (years),2019,Eastern Mediterranean,Lebanon,Both,66.0,65.96324
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Lebanon,Both,15.0,15.03184
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Liberia,Male,12.8,12.82594
Healthy life expectancy (HALE) at birth (years),2000,Africa,Liberia,Female,46.0,45.97872
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Liberia,Female,12.9,12.87284
Healthy life expectancy (HALE) at birth (years),2000,Africa,Liberia,Both,45.8,45.82286
Healthy life expectancy (HALE) at age 60 (years),2019,Africa,Liberia,Both,12.9,12.85154
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Libya,Male,64.2,64.18528
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Libya,Female,65.0,64.98922
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Libya,Female,16.0,16.04659
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Libya,Both,64.6,64.58829
Healthy life expectancy (HALE) at age 60 (years),2000,Eastern Mediterranean,Libya,Both,15.6,15.57367
Healthy life expectancy (HALE) at birth (years),2000,Americas,Saint Lucia,Male,62.4,62.36506
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Saint Lucia,Male,14.2,14.24203
Healthy life expectancy (HALE) at birth (years),2010,Americas,Saint Lucia,Male,63.5,63.45452
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Saint Lucia,Female,16.3,16.31787
Healthy life expectancy (HALE) at birth (years),2010,Americas,Saint Lucia,Female,67.7,67.68249
Healthy life expectancy (HALE) at age 60 (years),2000,Americas,Saint Lucia,Both,15.2,15.24767
Healthy life expectancy (HALE) at birth (years),2010,Americas,Saint Lucia,Both,65.5,65.45253
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Sri Lanka,Male,61.5,61.45373
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Sri Lanka,Male,13.5,13.48458
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Sri Lanka,Female,67.0,66.98593
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Sri Lanka,Female,16.2,16.1549
Healthy life expectancy (HALE) at birth (years),2010,South-East Asia,Sri Lanka,Both,64.2,64.18698
Healthy life expectancy (HALE) at age 60 (years),2010,South-East Asia,Sri Lanka,Both,14.9,14.88095
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Lesotho,Male,7.8,7.80853
Healthy life expectancy (HALE) at birth (years),2015,Africa,Lesotho,Male,40.1,40.06226
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Lesotho,Female,10.7,10.72156
Healthy life expectancy (HALE) at birth (years),2015,Africa,Lesotho,Female,43.4,43.42096
Healthy life expectancy (HALE) at age 60 (years),2010,Africa,Lesotho,Both,9.4,9.3608
Healthy life expectancy (HALE) at birth (years),2015,Africa,Lesotho,Both,41.6,41.64214
Healthy life expectancy (HALE) at birth (years),2015,Europe,Lithuania,Male,61.6,61.64349
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Lithuania,Male,12.8,12.83164
Healthy life expectancy (HALE) at birth (years),2015,Europe,Lithuania,Female,68.8,68.7841
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Lithuania,Female,17.3,17.31886
Healthy life expectancy (HALE) at birth (years),2015,Europe,Lithuania,Both,65.3,65.28436
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Lithuania,Both,15.4,15.37627
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Luxembourg,Male,17.6,17.6443
Healthy life expectancy (HALE) at birth (years),2019,Europe,Luxembourg,Male,71.1,71.11632
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Luxembourg,Female,19.5,19.45403
Healthy life expectancy (HALE) at birth (years),2019,Europe,Luxembourg,Female,72.0,71.95792
Healthy life expectancy (HALE) at age 60 (years),2015,Europe,Luxembourg,Both,18.6,18.58997
Healthy life expectancy (HALE) at birth (years),2019,Europe,Luxembourg,Both,71.6,71.55128
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Luxembourg,Both,18.5,18.52149
Healthy life expectancy (HALE) at birth (years),2019,Europe,Latvia,Male,62.9,62.90613
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Latvia,Male,13.2,13.18813
Healthy life expectancy (HALE) at birth (years),2019,Europe,Latvia,Female,69.3,69.33926
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Latvia,Female,17.4,17.44641
Healthy life expectancy (HALE) at age 60 (years),2019,Europe,Latvia,Both,15.6,15.63745
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Morocco,Male,60.7,60.67308
Healthy life expectancy (HALE) at age 60 (years),2019,Eastern Mediterranean,Morocco,Male,13.7,13.66537
Healthy life expectancy (HALE) at birth (years),2000,Eastern Mediterranean,Morocco,Female,60.7,60.71688
